year,basket_cost
1996,15.44
1997,15.52
1998,15.7
1999,15.96
2003,17.21
2004,18.46
2005,18.86
2006,18.94
2007,20.33
2008,22.86
2009,21.97
2010,22.04
2011,23.87
2013,25.57
2014,27.06
2015,27.42
2016,25.58
2017,25.24
2018,25.27
2019,25.63
2021,28.22
2022,33.01
2023,34.74
2024,36.2
